match_id,match_date,team1,team2,venue,toss_winner,toss_decision,winner,team1_avg_runs,team2_avg_runs,team1_avg_wickets,team2_avg_wickets,team1_run_rate,team2_run_rate,team1_death_run_rate,team2_death_run_rate,team1_matches,team2_matches,team1_inning_runs,team1_inning_wickets,team1_inning_run_rate,team1_death_runs,team2_inning_runs,team2_inning_wickets,team2_inning_run_rate,team2_death_runs
1359475,2023-03-31,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,Gujarat Titans,163.42857142857142,166.4375,6.285714285714286,5.125,7.946591653404959,8.105095607716882,9.588897050488564,10.169223469766948,14,16,178,7,8.826446280991735,38,182,5,8.950819672131148,37
1359476,2023-04-01,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,field,Punjab Kings,167.35714285714286,158.78571428571428,7.071428571428571,7.428571428571429,8.244047086933962,8.161788596470668,9.04540406760995,9.673247778339618,14,14,191,5,9.317073170731707,38,146,7,8.848484848484848,0
1359477,2023-04-01,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,field,Lucknow Super Giants,169.86666666666667,167.21428571428572,5.933333333333334,5.785714285714286,8.252840099493145,8.547419587934753,10.545548879144937,10.55085020242915,15,14,193,6,9.264000000000001,62,143,9,6.809523809523809,30
1359478,2023-04-02,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,Rajasthan Royals,173.11764705882354,156.92857142857142,5.705882352941177,5.714285714285714,8.374460052475888,8.15924193997957,10.243614584649068,10.2362328169568,17,14,203,5,9.98360655737705,33,131,8,6.238095238095238,42
1359479,2023-04-02,Mumbai Indians,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,Royal Challengers Bangalore,158.35714285714286,164.5,6.714285714285714,6.125,7.829901601035573,7.990530215295458,10.135004226542689,9.664758765153035,14,16,171,7,7.892307692307692,60,172,2,10.117647058823529,11
1359480,2023-04-03,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,field,Chennai Super Kings,164.4,171.3125,6.333333333333333,5.9375,8.00524862857741,8.316037593274821,9.582547261167951,10.697684700995044,15,16,217,7,10.5,47,205,7,9.044117647058822,49
1359481,2023-04-04,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Gujarat Titans,field,Gujarat Titans,165.6,167.35294117647058,6.0,5.117647058823529,8.431559869374023,8.154844082094192,10.311503759398494,10.192882593394103,15,17,162,8,7.776000000000001,36,163,4,8.504347826086956,26
1359482,2023-04-05,Punjab Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,Punjab Kings,168.93333333333334,174.77777777777777,6.933333333333334,5.666666666666667,8.315582159187146,8.463857080525951,9.051142216255338,10.132858218835231,15,18,197,5,9.307086614173228,38,192,7,9.216000000000001,63
1359483,2023-04-06,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,field,Kolkata Knight Riders,157.93333333333334,164.94117647058823,7.4,5.882352941176471,8.207568346604948,8.115654735502991,9.673247778339618,10.390361190732268,15,17,204,7,9.488372093023257,57,123,10,6.897196261682243,14
1359484,2023-04-07,Sunrisers Hyderabad,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,bat,Lucknow Super Giants,155.2,173.2941176470588,5.866666666666666,6.0,8.031165493187281,8.358865831732702,10.225073330031316,10.603298157182856,15,17,121,8,5.950819672131148,37,127,5,7.544554455445545,0
1359485,2023-04-08,Rajasthan Royals,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",Delhi Capitals,field,Rajasthan Royals,175.68421052631578,165.375,5.7368421052631575,6.125,8.503443549971955,8.390587377538148,10.395339365212324,10.224070175438595,19,16,199,4,9.629032258064516,56,142,9,6.65625,24
1359486,2023-04-08,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,Chennai Super Kings,159.2,167.6875,6.733333333333333,6.375,7.834062007120381,8.161170589291322,10.240568440775816,9.727044110423423,15,16,157,8,7.5360000000000005,44,159,3,8.368421052631579,24
1359487,2023-04-09,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,bat,Kolkata Knight Riders,167.11111111111111,160.8125,5.055555555555555,7.375,8.174260956760456,8.287618580756092,10.245658957253161,9.922699352366873,18,16,204,4,9.63779527559055,60,207,7,10.097560975609756,52
1359488,2023-04-09,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,Sunrisers Hyderabad,170.6875,153.0625,6.8125,6.0,8.377551187623776,7.901143879371272,9.031005684325011,10.160068441362561,16,16,143,9,6.864000000000001,42,145,2,8.446601941747572,21
1359489,2023-04-10,Royal Challengers Bangalore,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,field,Lucknow Super Giants,162.61111111111111,170.72222222222223,6.111111111111111,5.944444444444445,8.047962598068505,8.31362631082786,10.27978556902492,10.603298157182856,18,18,212,2,10.258064516129032,66,213,9,9.906976744186046,28
1359490,2023-04-11,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,Mumbai Indians,164.0,159.0625,6.294117647058823,6.8125,8.28856753180061,7.8154331316753565,9.945065789473684,10.234786954980505,17,16,172,10,8.32258064516129,36,173,4,8.508196721311476,34
1359491,2023-04-12,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,Rajasthan Royals,176.85,167.1764705882353,5.65,6.176470588235294,8.559722985376583,8.17336179301722,10.547572396951708,9.719103853521956,20,17,175,8,8.333333333333334,34,172,6,8.125984251968504,55
1359492,2023-04-13,Punjab Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Gujarat Titans,field,Gujarat Titans,169.05882352941177,169.05263157894737,6.9411764705882355,5.0,8.288518764822378,8.251289078804145,9.100938638703346,10.464308485818783,17,19,153,8,7.116279069767442,44,154,4,7.764705882352942,34
1359493,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Sunrisers Hyderabad,152.58823529411765,163.52941176470588,5.764705882352941,7.352941176470588,7.93322964774635,8.394085780453366,10.650064163777401,10.082491709877113,17,17,228,4,10.6875,56,205,7,9.609375,46
1359494,2023-04-15,Royal Challengers Bangalore,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,field,Royal Challengers Bangalore,165.21052631578948,164.44444444444446,5.894736842105263,6.5,8.164283751650638,8.290457149209537,10.540363656485146,9.912491587023826,19,18,174,6,8.419354838709676,35,151,9,7.365853658536586,40
1359495,2023-04-15,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,field,Punjab Kings,172.94736842105263,168.16666666666666,6.105263157894737,7.0,8.397486859951975,8.223394337319327,10.345587808067524,9.143241084895497,19,18,159,8,7.511811023622047,33,161,8,7.918032786885246,33
1359496,2023-04-16,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,165.83333333333334,159.88235294117646,7.333333333333333,6.647058823529412,8.461601848205957,7.856183931065717,10.150885159171604,10.126362770294222,18,17,185,6,8.671875,39,186,5,10.238532110091743,15
1359497,2023-04-16,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,field,Rajasthan Royals,168.3,176.76190476190476,4.95,5.761904761904762,8.226959918981587,8.548942525755475,10.38457132239741,10.43387847328734,20,21,177,7,8.564516129032258,52,179,7,9.101694915254237,45
1359498,2023-04-17,Chennai Super Kings,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,Chennai Super Kings,167.44444444444446,165.65,6.166666666666667,5.9,8.170729707403403,8.177037306003589,9.866346110504324,10.43334547366089,18,20,226,6,10.761904761904763,54,218,8,10.380952380952381,37
1359499,2023-04-18,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,Mumbai Indians,161.33333333333334,156.77777777777777,6.555555555555555,5.666666666666667,7.988536607678274,8.086244667315997,10.011977794501513,10.75561594499311,18,18,192,5,9.442622950819672,48,178,10,8.409448818897637,35
1359500,2023-04-19,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,Lucknow Super Giants,172.25,176.86363636363637,6.2,5.818181818181818,8.353203068135478,8.574067634369056,10.178240337248958,10.544026854371682,20,22,154,7,7.5737704918032795,39,144,6,7.024390243902439,37
1359501,2023-04-20,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field,Royal Challengers Bangalore,168.14285714285714,167.78947368421052,6.0,7.052631578947368,8.281985642905912,8.207322676770165,10.31407051913282,9.090697491666349,21,19,174,4,8.487804878048781,37,150,10,7.964601769911505,12
1359502,2023-04-20,Kolkata Knight Riders,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,Delhi Capitals,166.8421052631579,163.73684210526315,7.2631578947368425,6.631578947368421,8.472668856195117,8.24179380759517,10.051937259671273,9.87461812278746,19,19,127,10,5.861538461538461,30,128,6,6.347107438016528,18
1359503,2023-04-21,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,Chennai Super Kings,157.89473684210526,170.52631578947367,5.894736842105263,6.157894736842105,8.103255412136082,8.307107341850843,10.606799674544774,9.961072913889005,19,19,134,7,6.59016393442623,28,138,3,7.392857142857142,19
1359504,2023-04-22,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,bat,Gujarat Titans,168.71428571428572,171.38095238095238,5.0476190476190474,6.238095238095238,8.243034024222094,8.316087231167279,10.484353640378485,10.155701372130594,21,21,135,6,6.75,38,128,7,6.347107438016528,19
1359505,2023-04-22,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Punjab Kings,166.9,162.94736842105263,7.2,6.473684210526316,8.19518663142723,8.06506746784361,8.852325408795998,10.122423472584764,20,19,214,8,9.953488372093023,65,201,6,9.804878048780488,40
1359506,2023-04-23,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field,Royal Challengers Bangalore,168.4090909090909,175.43478260869566,5.909090909090909,5.826086956521739,8.291341062685134,8.50669035652268,10.265703677354056,10.487764817225088,22,23,189,9,9.072000000000001,27,182,6,8.666666666666666,53
1359507,2023-04-23,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Chennai Super Kings,168.9,164.85,6.0,7.4,8.261394831901157,8.342112336462284,9.811805918421163,9.825476895227535,20,20,235,4,11.463414634146341,66,186,8,8.651162790697674,30
1359508,2023-04-24,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,bat,Delhi Capitals,161.95,156.7,6.6,5.95,8.14705948911624,8.02760083825059,9.62557807121218,10.402231270621366,20,20,144,9,7.140495867768594,31,137,6,6.793388429752066,43
1359509,2023-04-25,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,Gujarat Titans,167.1818181818182,164.85,5.090909090909091,6.45,8.175168841302908,8.152057996890454,10.439610293088554,10.115980131922408,22,20,207,6,9.936,70,152,9,7.537190082644628,23
1359510,2023-04-26,Kolkata Knight Riders,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,Kolkata Knight Riders,165.85714285714286,169.30434782608697,7.428571428571429,6.043478260869565,8.356829024759207,8.325282755611868,9.639664528841601,10.090271744893846,21,23,200,5,9.600000000000001,50,179,8,8.80327868852459,34
1359511,2023-04-27,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,175.70833333333334,172.04761904761904,5.833333333333333,5.904761904761905,8.513356036112015,8.413871965341404,10.523988902221662,10.054548955833438,24,21,202,5,9.774193548387096,56,170,6,8.429752066115702,41
1359512,2023-04-28,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field,Lucknow Super Giants,169.4090909090909,169.14285714285714,6.2727272727272725,7.238095238095238,8.226588149660428,8.27891528574465,9.885416303524064,9.241676703069892,22,21,257,5,11.953488372093023,57,201,10,9.421875,35
1359513,2023-04-29,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans,field,Gujarat Titans,167.4090909090909,168.91304347826087,7.318181818181818,5.130434782608695,8.413336796361062,8.251726717768,9.798572055017068,10.716148975997749,22,23,179,7,8.731707317073171,42,180,3,9.818181818181818,38
1359514,2023-04-29,Sunrisers Hyderabad,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,155.76190476190476,161.0952380952381,5.9523809523809526,6.714285714285714,7.96882881879828,8.099127888099686,10.419619707090297,9.53179916765157,21,21,197,6,9.162790697674419,45,188,6,9.170731707317072,47
1359515,2023-04-30,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,Punjab Kings,171.95454545454547,170.5909090909091,5.909090909090909,7.363636363636363,8.414593788103872,8.330868000028984,10.063856148412798,9.18343902176255,22,22,200,4,9.448818897637794,42,201,6,9.648,48
1359516,2023-04-30,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,Mumbai Indians,176.76,164.23809523809524,5.8,6.571428571428571,8.563789536603018,8.122778572402558,10.640629346132796,9.897681125326287,25,21,212,7,9.56390977443609,59,214,4,10.272,58
1359517,2023-05-01,Royal Challengers Bangalore,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,169.70833333333334,173.2173913043478,6.125,6.217391304347826,8.345199252816565,8.388627289766193,10.009843755523269,10.066110765261012,24,23,126,9,6.19672131147541,27,108,10,5.225806451612903,29
1359518,2023-05-02,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,bat,Delhi Capitals,162.3181818181818,169.375,6.681818181818182,5.041666666666667,8.147837152609567,8.316995680285242,9.575258466546469,11.061309435331173,22,24,130,8,6.290322580645161,39,125,6,6.048387096774193,36
1359519,2023-05-03,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,field,,170.5,173.17391304347825,6.375,5.826086956521739,8.256843088176472,8.459560097214043,9.912756080126771,10.06458995984858,24,23,125,7,6.3559322033898304,42,0,0,0.0,0
1359520,2023-05-03,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field,Mumbai Indians,171.91304347826087,166.5,7.304347826086956,6.454545454545454,8.388134608723377,8.220470455475168,9.254068909615128,10.146859870911163,23,22,214,3,10.03125,62,216,4,11.172413793103448,38
1359521,2023-05-04,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,bat,Kolkata Knight Riders,167.91304347826087,157.63636363636363,7.304347826086956,5.954545454545454,8.427178992913761,8.02309981329265,9.835489315279327,10.437733054371712,23,22,171,9,8.078740157480315,34,166,8,7.8425196850393695,28
1359522,2023-05-05,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Gujarat Titans,178.1153846153846,167.6,5.846153846153846,5.08,8.602255699596599,8.2262513369448,10.735647875555038,10.978857057917926,26,25,118,10,6.2105263157894735,8,119,1,8.5,0
1359523,2023-05-06,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,Chennai Super Kings,168.65217391304347,173.17391304347825,6.3478260869565215,5.826086956521739,8.348815817980746,8.459560097214043,10.295264636137127,10.06458995984858,23,23,139,8,6.836065573770492,33,140,4,7.706422018348623,12
1359524,2023-05-06,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,Delhi Capitals,167.96,160.91304347826087,6.24,6.739130434782608,8.259260135162918,8.06707564948068,9.879450005302338,9.58320126352163,25,23,181,4,8.688,44,187,3,10.893203883495145,8
1359525,2023-05-07,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,field,Gujarat Titans,165.73076923076923,168.68,4.923076923076923,6.4,8.236780131677692,8.180806652785007,10.978857057917926,10.029592772295171,26,25,227,2,10.896,43,171,7,8.208,31
1359526,2023-05-07,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Sunrisers Hyderabad,175.88888888888889,158.0,6.0,6.043478260869565,8.513673129825964,8.015248503368595,10.486179435719666,10.256996936515655,27,23,214,2,10.272,46,217,6,10.416,59
1359527,2023-05-08,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat,Kolkata Knight Riders,173.66666666666666,168.04166666666666,7.125,7.375,8.456597750026567,8.412660708104035,9.483779064073182,9.76871484951536,24,24,179,7,8.523809523809524,48,182,5,8.878048780487806,53
1359528,2023-05-09,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,168.46153846153845,167.41666666666666,6.153846153846154,6.416666666666667,8.275750129964344,8.28578455780532,9.875539535012932,10.191992260652903,26,24,199,6,9.707317073170731,38,200,4,11.320754716981131,7
1359529,2023-05-10,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,Chennai Super Kings,171.79166666666666,162.0,5.75,6.583333333333333,8.428179343927985,8.184830992564615,9.940042570289947,9.688279469455471,24,24,167,8,7.707692307692307,42,140,8,6.720000000000001,43
1359530,2023-05-11,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,Rajasthan Royals,168.6,177.25,7.28,5.857142857142857,8.431276230999385,8.576470518046465,9.934490332871771,10.490793906421986,25,28,149,8,7.3884297520661155,22,151,1,11.048780487804878,0
1359531,2023-05-12,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,Mumbai Indians,168.72,168.0,6.32,4.814814814814815,8.40718336417235,8.335269756430371,10.350659249792367,10.970054863382622,25,27,218,5,10.9,65,191,8,9.317073170731707,55
1359532,2023-05-13,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat,Lucknow Super Giants,160.45833333333334,168.76923076923077,6.041666666666667,6.423076923076923,8.115279815728234,8.181852550754815,10.403013792118653,9.92169307344954,24,26,182,6,8.878048780487806,37,185,3,9.173553719008265,40
1359533,2023-05-13,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,Punjab Kings,173.88,161.12,7.12,6.64,8.459286220977885,8.126237752862032,9.553046195066655,9.668529729656733,25,25,167,7,7.889763779527558,38,136,8,6.634146341463414,17
1359534,2023-05-14,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,169.59259259259258,176.3448275862069,6.148148148148148,5.689655172413793,8.328771127860877,8.66172258596917,9.861630663345785,10.490793906421986,27,29,171,5,8.274193548387096,48,59,10,5.4461538461538455,0
1359535,2023-05-14,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,Kolkata Knight Riders,171.6,167.84615384615384,5.84,7.3076923076923075,8.399359862478557,8.391166751040414,9.914763018750088,9.73292259046851,25,26,144,6,6.912000000000001,45,147,4,7.47457627118644,21
1359536,2023-05-15,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,field,Gujarat Titans,168.82142857142858,161.32,4.928571428571429,6.04,8.370334164083989,8.145790574318617,11.03384200519466,10.354971550780375,28,25,188,9,8.8125,25,154,9,7.392,31
1359537,2023-05-16,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,field,Lucknow Super Giants,169.37037037037038,170.6153846153846,6.296296296296297,6.269230769230769,8.21858222365309,8.5030609270888,10.004825350511558,10.586632879800673,27,26,177,4,8.496,60,172,5,7.938461538461538,41
1359538,2023-05-17,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,field,Delhi Capitals,160.15384615384616,173.6153846153846,6.6923076923076925,7.115384615384615,8.068849621654392,8.437381511691335,9.444988540470463,9.535002603605545,26,26,213,2,10.224,59,198,8,9.580645161290322,63
1359539,2023-05-18,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,field,Royal Challengers Bangalore,161.03846153846155,169.64285714285714,6.153846153846154,6.107142857142857,8.116798629152516,8.326821928593956,10.238372688749159,9.938000996797722,26,28,186,5,9.0,45,187,2,9.272727272727272,33
1359540,2023-05-19,Punjab Kings,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Rajasthan Royals,field,Rajasthan Royals,174.5185185185185,172.43333333333334,7.148148148148148,5.833333333333333,8.47972460982463,8.554536961308658,9.713602499461324,10.490793906421986,27,30,187,5,8.904761904761905,62,189,6,9.0,40
1359541,2023-05-20,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bat,Chennai Super Kings,170.53846153846155,162.11111111111111,5.846153846153846,6.518518518518518,8.34215371392169,8.148670006037563,9.890586291103531,9.605388389505624,26,27,223,3,10.372093023255815,56,146,9,6.89763779527559,15
1359542,2023-05-20,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,Lucknow Super Giants,169.64285714285714,167.07407407407408,6.214285714285714,7.185185185185185,8.228490001379766,8.357218955490266,10.152568754190108,9.632002682443025,28,27,176,8,8.31496062992126,54,175,7,8.4,54
1359543,2023-05-21,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,161.96296296296296,170.66666666666666,6.111111111111111,6.222222222222222,8.149509791035756,8.482149838621124,10.243997407820936,10.505714639065634,27,27,200,5,9.523809523809524,32,201,2,10.672566371681416,21
1359544,2023-05-21,Royal Challengers Bangalore,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,field,Gujarat Titans,170.24137931034483,169.48275862068965,5.9655172413793105,5.068965517241379,8.359439354253727,8.385581261874197,9.90565613483918,10.854061933580565,29,29,197,5,9.456000000000001,48,198,4,9.658536585365853,43
1370350,2023-05-23,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",Gujarat Titans,field,Chennai Super Kings,172.4814814814815,170.43333333333334,5.7407407407407405,5.033333333333333,8.417336651304435,8.428013105990585,9.955802468236156,10.850473591043304,27,30,172,7,8.459016393442623,41,157,10,7.136363636363637,42
1370351,2023-05-24,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,bat,Mumbai Indians,171.75,169.86206896551724,6.071428571428571,6.275862068965517,8.560379000516134,8.231471747191542,10.475588455852376,10.19034079266838,28,29,182,8,8.666666666666666,41,101,10,5.9411764705882355,1
1370352,2023-05-26,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,Gujarat Titans,170.0,172.10344827586206,5.193548387096774,6.137931034482759,8.386346994067136,8.56404409245236,10.77844631042232,10.40441596173942,31,29,233,3,11.007874015748031,50,171,10,8.921739130434782,10
1370353,2023-05-29,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,field,Chennai Super Kings,171.96875,172.46428571428572,5.125,5.785714285714286,8.468269713494664,8.418825213523656,10.789177433025184,9.951513487931111,32,28,214,4,10.524590163934427,61,171,5,10.914893617021278,0
1422119,2024-03-22,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,bat,Chennai Super Kings,30.0,172.41379310344828,5.0,5.758620689655173,6.0,8.504896537782194,7.5,9.951513487931111,0,29,173,6,8.046511627906977,57,176,4,8.8,36
1422120,2024-03-23,Delhi Capitals,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,field,Punjab Kings,161.53571428571428,174.96428571428572,6.607142857142857,7.071428571428571,8.103990284224635,8.494904513215248,9.377838392173507,9.912310095635888,28,28,174,9,8.419354838709676,46,177,6,8.704918032786885,41
1422121,2024-03-23,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Sunrisers Hyderabad,field,Kolkata Knight Riders,167.35714285714286,163.32142857142858,7.178571428571429,6.071428571428571,8.358746849937043,8.198591924349106,9.730669237341234,10.149034540864605,28,28,208,7,9.75,67,204,7,10.032786885245903,71
1422122,2024-03-24,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Rajasthan Royals,172.96774193548387,167.56666666666666,5.838709677419355,6.4,8.568906736750314,8.155128571304765,10.473869978614331,9.89782862150165,31,30,193,4,9.118110236220472,44,173,6,8.370967741935484,28
1422123,2024-03-24,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,Gujarat Titans,173.24242424242425,172.06666666666666,5.090909090909091,6.266666666666667,8.53058245441708,8.575967260385108,10.928578138243148,10.193426248773036,33,30,168,6,8.129032258064516,35,162,9,7.902439024390244,32
1422124,2024-03-25,Punjab Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,175.0344827586207,173.0,7.0344827586206895,6.0,8.502146358717717,8.046511627906977,9.95932891364264,11.032258064516128,29,1,176,6,8.448,44,178,6,8.682926829268293,48
1422125,2024-03-26,Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chepauk, Chennai",Gujarat Titans,field,Chennai Super Kings,172.53333333333333,173.08823529411765,5.7,5.117647058823529,8.514733319856122,8.518772154524358,10.002117329527556,10.842164348506177,30,34,206,6,9.888,41,143,8,6.703125,23
